Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
1 4 All Group,https://1-4-all.group/,"IFZA Business Park, Building A2, Dubai Silicon Oasis, Dubai, UAE","Botswana,DRC Congo,Côte d'Ivoire,Ethiopia,Ghana,Kenya,Mauritius,Nigeria,Rwanda,Senegal,South Africa,Tanzania,Uganda,Zambia,Argentina,Brazil,Canada,Chile,Costa Rica,Cuba,Jamaica,Mexico,Trinidad and Tobago,USA,Uruguay,Azerbaijan,Bangladesh,China,Hong Kong,India,Indonesia,Japan,Kazakhstan,Kyrgyzstan,Malaysia,Pakistan,Philippines,Singapore,South Korea,Sri Lanka,Taiwan,Tajikistan,Thailand,Turkmenistan,Uzbekistan,Vietnam,Armenia,Austria,Belarus,Belgium,Bosnia-H,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Gibraltar,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Algeria,Bahrain,Egypt,Iran,Iraq,Israel,Jordan,Kuwait,Morocco,Oman,Qatar,Saudi Arabia,Tunisia,Turkey,UAE,Australia,New Zealand","3. Early Revenue,4. Scaling,5. Growth","We invest in Financial, Consumer, Healthcare, Energy/Mining/Industrials, IT/Media, and Infrastructure sectors. Value investors seeking realistic valuations and pivot-ready startup or early-stage cases. Special interest in 'neglected' cases: minority/female-led ventures, emerging markets, smaller enterprises, and investment management startups.",Angel network,"$50,000","$14,000,000"
10X Venture Partners,https://10xvp.com,"Elm Street, Manchester, NH",USA,"2. Prototype,3. Early Revenue,4. Scaling","We invest in SaaS, AI, Artificial Intelligence, CV, Computer Vision SportsTech, CyberSecurity, mobile, internet, software, marketplaces, logistics",Angel network,"$20,000","$200,000"
50 Partners Capital,http://www.50partners.fr/,"62 rue Jean Jacques Rousseau, 75001 Paris",France,"1. Idea or Patent,2. Prototype,3. Early Revenue",We only invest in the companies accelerated by 50 Partners.,Angel network,"$20,000","$500,000"
Accelerate Venture Partners,https://www.avpict.com/,"245 N. Waco, Ste# 230A Wichita, KS 67202 USA",USA,"3. Early Revenue,4. Scaling","We invest in early-stage, high-growth companies in Wichita and the Midwest.",Angel network,"$100,000","$500,000"
Ace of Cups,http://aceofcups.vc/,1680 Michigan Ave Suite 700 #488 Miami Beach FL 33139 United States,"USA,UK,France,Italy,Denmark,Norway,Sweden,Netherlands,Germany","2. Prototype,3. Early Revenue,4. Scaling","We invest in creators who focus on craftsmanship, prioritize innovative recipes, techniques, and ingredients, and are bold enough to disrupt the drinks industry, aiming to toss alcohol drinking into the dumpster of history. 

We are interested in built from the ground up wine alternatives, aperitifs and anything fermented, especially tea-based. Open to consider functional drinks with genuine science-backed benefits. ",Angel network,"$15,000","$250,000"
Allied Venture Partners,https://www.allied.vc,"315 3rd Street SE, Calgary, AB Canada","Canada,USA","2. Prototype,3. Early Revenue,4. Scaling","We invest in post-product/revenue, Seed and Series A software and technology companies across Canada and the USA. We are industry agnostic, however, do not invest in Medtech, Biotech, Healthcare or Cannabis. 

For our complete investment thesis, please visit www.allied.vc/thesis",Angel network,"$100,000","$300,000"
Angel Club,https://angelclub.com,"53 Summit Rd, San Anselmo, CA 94960","USA,UK,Canada,Mexico,Argentina,Brazil,Colombia",3. Early Revenue,We invest in consumer technology at seed-stage with a special focus on female and diverse founders. We also invest in talented teams and start-ups where we believe we can be strategic and helpful beyond capital.,Angel network,"$10,000","$150,000"
Angels Bay Invest,https://angelsbay.net/,"c/o Data ScienceTech Institute Les Templiers 950 Route des Colles, Sophia-Antipolis 06410 Biot, France",France,"2. Prototype,3. Early Revenue,4. Scaling","We invest in young innovative French start-ups with an international ambition. We are looking for companies, mainly in B2B, which are solving key issues for businesses, environnement, or the society. We invest from $70k to $150k at early stage.",Angel network,"$70,000","$150,000"
AngelSpark,https://angelspark.net/,"in5 Tech, Dubai","UAE,Saudi Arabia,Egypt,UK,USA,Spain,Germany,Netherlands,India,Pakistan","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in promising and exciting startups in fintech, IoT, web3, SaaS, developer tools, open source, F&B, ISP. We are geography & sector agnostic.",Angel network,"$100,000","$100,000"
Angelsquare Capital,https://angelsquare.co/capital/,90 Rue Notre Dame de Nazareth 75003 Paris,France,"2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in pre-seed and seed stages - all sectors, focused on French Entrepreneurs :)
We can leverage our tickets with our serial-BAs network through a SPV",Angel network,"$50,000","$500,000"
